File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Population age 18-64,SSA Disabilty Beneficiaries  age 18-64,Percent of Adult Population Receiving SSA Adult Disability Benefits,Eligible Adult Population,Adult Receipts,Eligible Adult Population Filing Rate,Favorable Adult Determinations,Eligible Adult Population Allowance Rate,All Adult Determinations,Adult Favorable  Determination Rate,Population under age 18,SSI Disabled Child (DC) Beneficiaries,Percent of Population under age 18 Receiving SSI DC Benefits,Eligible Child Population,SSI Disabled Child (DC) Receipts,Eligible Child Population Filing Rate,Favorable SSI Child (DC) Determinations,Eligible Child Population Allowance Rate,All SSI Disabled Child Determinations,SSI Disabled Child Allowance Rate,All Determinations,All Favorable Determinations,Favorable Determination Rate
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2001,2760170,211792,7.67,2548378,42416,1.66,15279,0.6,39021,39.16,1118057,25307,2.26,1092750,10602,0.97,4344,0.4,10879,39.93,49900,19623,39.32
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2002,2770228,223434,8.07,2546794,45172,1.77,15812,0.62,50401,31.37,1112246,26687,2.4,1085559,11780,1.09,4337,0.4,12259,35.38,62660,20149,32.16
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2003,2787370,232793,8.35,2554577,47729,1.87,13358,0.52,46283,28.86,1106767,27308,2.47,1079459,12605,1.17,4047,0.37,12565,32.21,58848,17405,29.58
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2004,2803855,242764,8.66,2561091,49115,1.92,13643,0.53,48797,27.96,1106125,27548,2.49,1078577,12881,1.19,3928,0.36,13227,29.7,62024,17571,28.33
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2005,2824057,253545,8.98,2570512,47778,1.86,13228,0.51,46690,28.33,1108325,28052,2.53,1080273,11956,1.11,3430,0.32,11868,28.9,58558,16658,28.45
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2006,2855278,262439,9.19,2592839,51055,1.97,14071,0.54,49380,28.5,1116897,28693,2.57,1088204,11843,1.09,3335,0.31,11873,28.09,61253,17406,28.42
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2007,2878957,269374,9.36,2609583,50212,1.92,13159,0.5,47422,27.75,1121284,29084,2.59,1092200,11696,1.07,3249,0.3,11649,27.89,59071,16408,27.78
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2008,2898356,277691,9.58,2620665,53663,2.05,15737,0.6,48937,32.16,1121877,29270,2.61,1092607,11641,1.07,3424,0.31,11150,30.71,60087,19161,31.89
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2009,2928795,290264,9.91,2638531,61551,2.33,18107,0.69,56749,31.91,1128864,29965,2.65,1098899,12646,1.15,3664,0.33,12080,30.33,68829,21771,31.63
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2010,2994402,303977,9.91,2690425,69540,2.64,19301,0.73,62300,30.98,1130523,30040,2.65,1100483,13587,1.24,3838,0.35,12876,29.81,75176,23139,30.78
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2011,3003011,314263,10.46,2688748,67018,2.49,19593,0.73,66119,29.63,1127143,29984,2.66,1097159,12578,1.24,3632,0.35,12879,29.81,78995,23431,29.66
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2012,2998237,324872,10.84,2673365,69317,2.59,20695,0.77,66535,31.1,1124406,29893,2.66,1094513,11725,1.07,3394,0.31,11735,28.92,78270,24089,30.78
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2013,3001075,330166,10.84,2670909,68016,2.54,19371,0.72,68316,28.35,1111481,29120,2.66,1082361,10785,0.99,3128,0.29,11051,28.31,79367,22499,28.35
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2014,2997874,329307,10.98,2668567,63816,2.39,17504,0.66,63380,27.62,1107571,27624,2.49,1079947,9638,0.89,2825,0.26,9680,29.18,73060,20329,27.83
SSA-SA-FYWL.csv,2,11/10/15,ATL,AL ,FY,2015,2997874,329307,10.98,2668567,61603,2.31,16191,0.61,60753,26.65,1107571,27624,2.49,1079947,9599,0.89,2736,0.25,9538,28.69,70291,18927,26.93
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2001,9792187,489839,5,9302348,113158,1.22,38777,0.42,105517,36.75,3712535,69160,1.86,3643375,27504,0.75,11929,0.33,25397,46.97,130914,50706,38.73
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2002,10019416,508690,5.08,9510726,122035,1.28,38366,0.4,106469,36.03,3771816,72074,1.91,3699742,30422,0.82,12824,0.35,27800,46.13,134269,51190,38.12
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2003,10228397,532877,5.21,9695520,122938,1.27,41736,0.43,125287,33.31,3817019,77292,2.02,3739727,31382,0.84,14011,0.37,32544,43.05,157831,55747,35.32
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2004,10493881,550309,5.24,9943572,124196,1.25,37712,0.38,119451,31.57,3886220,78640,2.02,3807580,31483,0.83,12302,0.32,30891,39.82,150342,50014,33.27
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2005,10758566,568289,5.28,10190277,118534,1.16,38992,0.38,119218,32.71,3963736,79747,2.01,3883989,29343,0.76,11299,0.29,29713,38.03,148931,50291,33.77
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2006,10967359,578023,5.27,10389336,115245,1.11,37472,0.36,113728,32.95,4018065,80596,2.01,3937469,27047,0.69,10502,0.27,27268,38.51,140996,47974,34.03
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2007,11077389,585536,5.29,10491853,120483,1.15,36671,0.35,114842,31.93,4022304,82455,2.05,3939849,28583,0.73,10809,0.27,28021,38.57,142863,47480,33.23
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2008,11136272,603183,5.42,10533089,133005,1.26,41361,0.39,127942,32.33,4004271,84305,2.11,3919966,30868,0.79,11988,0.31,29758,40.28,157700,53349,33.83
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2009,11284355,635708,5.63,10648647,161228,1.51,50078,0.47,151018,33.16,4057773,89075,2.2,3968698,36732,0.93,14440,0.36,34668,41.65,185686,64518,34.75
SSA-SA-FYWL.csv,2,11/10/15,ATL,FL ,FY,2010,11564139,674065,5.63,10890074,172118,1.62,54344,0.51,173953,31.24,3996070,93016,2.2,3903054,37990,0.96,14961,0.38,38215,39.15,212168,69305,32.67
